,Repository Name,Stars,LOC,Size_Classification,Commits Number,Bug Fixing Commits Number,Modified Lines,Modified Files,Commits metadata savepath,TDD probability,Before Frequency,Same Commit Frequency,After Frequency
0,netbeans-mavenutils-nb-repository-plugin,1,1900,0,1247,8,2680,103501,controlRepositoryMetadata/netbeans-mavenutils-nb-repository-plugin_commits_info.npy,0.285714286,0.142857143,0.142857143,0.714285714
1,nifi-maven,17,3200,0,44,1,86,4814,controlRepositoryMetadata/nifi-maven_commits_info.npy,0,0,0,0
2,sling-org-apache-sling-commons-messaging-mail,2,4500,0,132,0,250,7682,controlRepositoryMetadata/sling-org-apache-sling-commons-messaging-mail_commits_info.npy,0,0,0,1
3,fineract-cn-office,4,7500,0,63,1,851,26743,controlRepositoryMetadata/fineract-cn-office_commits_info.npy,1,0,1,0
4,sling-org-apache-sling-fsresource,4,10900,0,225,3,617,18070,controlRepositoryMetadata/sling-org-apache-sling-fsresource_commits_info.npy,0.909090909,0,0.909090909,0.090909091
5,plc4x-build-tools,8,16400,0,188,1,804,28886,controlRepositoryMetadata/plc4x-build-tools_commits_info.npy,1,0,1,0
6,sling-org-apache-sling-resourceresolver,6,29600,0,749,6,1759,80932,controlRepositoryMetadata/sling-org-apache-sling-resourceresolver_commits_info.npy,0.269230769,0.038461538,0.230769231,0.730769231
7,servicemix-specs,1,43800,0,423,0,3437,70246,controlRepositoryMetadata/servicemix-specs_commits_info.npy,0,0,0,1
8,incubator-retired-htrace,102,75800,0,605,10,2842,175050,controlRepositoryMetadata/incubator-retired-htrace_commits_info.npy,0.590909091,0.045454545,0.545454545,0.409090909
9,qpid-proton-j,28,108700,0,3184,135,19491,983940,controlRepositoryMetadata/qpid-proton-j_commits_info.npy,0.25,0,0.25,0.75
10,servicemix4-bundles,18,289100,1,7583,4,13324,375963,controlRepositoryMetadata/servicemix4-bundles_commits_info.npy,0,0,0,0
11,geronimo-specs,18,330800,1,1900,13,22909,1358061,controlRepositoryMetadata/geronimo-specs_commits_info.npy,0.405063291,0,0.405063291,0.594936709
12,ignite-3,43,347200,1,523,7,11360,717989,controlRepositoryMetadata/ignite-3_commits_info.npy,0.76097561,0.009756098,0.751219512,0.23902439
13,oozie,627,354500,1,2368,24,19572,743718,controlRepositoryMetadata/oozie_commits_info.npy,0.862612613,0.011261261,0.851351351,0.137387387
14,logging-log4j2,1700,437000,1,11502,214,57403,1907844,controlRepositoryMetadata/logging-log4j2_commits_info.npy,0.528150134,0.018766756,0.509383378,0.471849866
15,atlas,1100,500600,1,3625,69,30356,1904179,controlRepositoryMetadata/atlas_commits_info.npy,0.622222222,0.005555556,0.616666667,0.377777778
16,directory-ldap-api,24,509600,1,5888,237,88797,4445819,controlRepositoryMetadata/directory-ldap-api_commits_info.npy,0.650165017,0.01980198,0.630363036,0.349834983
17,iotdb,1700,511700,1,5519,667,68209,4267909,controlRepositoryMetadata/iotdb_commits_info.npy,0.735064935,0.023376623,0.711688312,0.264935065
18,phoenix,910,566200,1,3586,25,28470,1403339,controlRepositoryMetadata/phoenix_commits_info.npy,0.696517413,0.004975124,0.691542289,0.303482587
19,tapestry-5,91,792100,1,5618,54,40387,2584549,controlRepositoryMetadata/tapestry-5_commits_info.npy,0.900302115,0.006042296,0.894259819,0.099697885
20,incubator-sedona,1000,868600,2,906,39,18470,12611827,controlRepositoryMetadata/incubator-sedona_commits_info.npy,0.565217391,0.086956522,0.47826087,0.434782609
21,ranger,558,913100,2,3763,47,27750,2034804,controlRepositoryMetadata/ranger_commits_info.npy,0.388888889,0.015873016,0.373015873,0.611111111
22,juddi,15,913800,2,2934,64,28497,2311018,controlRepositoryMetadata/juddi_commits_info.npy,0.170454545,0.079545455,0.090909091,0.829545455
23,uima-uimaj,46,937300,2,7322,240,101177,9492585,controlRepositoryMetadata/uima-uimaj_commits_info.npy,0.620967742,0.008064516,0.612903226,0.379032258
24,drill,1600,1200000,2,4111,203,49045,2759325,repositoryMetadata/drill_commits_info.npy,0.65625,0.015625,0.640625,0.34375
25,directory-server,89,1200000,2,9837,415,93297,5661252,repositoryMetadata/directory-server_commits_info.npy,0.378378378,0.040540541,0.337837838,0.621621622
26,incubator-hop,173,1300000,2,3304,48,206182,14927550,repositoryMetadata/incubator-hop_commits_info.npy,0.979487179,0.001282051,0.978205128,0.020512821
27,lucene,602,1300000,2,35625,1077,353669,18280599,repositoryMetadata/lucene_commits_info.npy,0.681066667,0.018133333,0.662933333,0.318933333
28,cxf,742,1400000,2,16587,254,138389,3793312,repositoryMetadata/cxf_commits_info.npy,0.745554036,0.023255814,0.722298222,0.254445964
29,asterixdb-hyracks,16,1900000,2,2594,165,89593,6340989,controlRepositoryMetadata/asterixdb-hyracks_commits_info.npy,0.810344828,0.034482759,0.775862069,0.189655172
