,Repository Name,Stars,LOC,Size_Classification,Commits Number,Bug Fixing Commits Number,Modified Lines,Modified Files,Commits metadata savepath,TDD probability,Before Frequency,Same Commit Frequency,After Frequency
0,dubbo-spring-boot-project,5200,14900,0,287,32,2134,73152,repositoryMetadata/dubbo-spring-boot-project_commits_info.npy,0.5333333333333333,0.0,0.5333333333333333,0.4666666666666667
1,shiro,3700,18800,0,2203,46,20315,1007674,repositoryMetadata/shiro_commits_info.npy,0.4298245614035088,0.06140350877192982,0.3684210526315789,0.5701754385964912
2,nutch,2300,30000,0,3267,60,24983,1381463,repositoryMetadata/nutch_commits_info.npy,0.6176470588235294,0.0,0.6176470588235294,0.38235294117647056
3,dubbo-admin,3400,57800,0,593,31,4914,288423,repositoryMetadata/dubbo-admin_commits_info.npy,0.5238095238095238,0.0,0.5238095238095238,0.47619047619047616
4,shardingsphere-elasticjob,7400,91500,0,2195,41,35335,1423242,repositoryMetadata/shardingsphere-elasticjob_commits_info.npy,0.6914893617021277,0.06028368794326241,0.6312056737588653,0.30851063829787234
5,curator,2700,103100,0,2739,19,20891,1198067,repositoryMetadata/curator_commits_info.npy,0.7611940298507462,0.014925373134328358,0.746268656716418,0.23880597014925373
6,rocketmq,16100,184200,0,1844,84,15897,702471,repositoryMetadata/rocketmq_commits_info.npy,0.3423913043478261,0.0,0.3423913043478261,0.657608695652174
7,incubator-shenyu,5600,196600,0,1829,138,20634,757347,repositoryMetadata/incubator-shenyu_commits_info.npy,0.13392857142857142,0.044642857142857144,0.08928571428571429,0.8660714285714286
8,maven,2900,210600,0,11502,162,50974,1760793,repositoryMetadata/maven_commits_info.npy,0.5066666666666667,0.01,0.49666666666666665,0.49333333333333335
9,skywalking,18300,216600,0,6869,349,134660,5853071,repositoryMetadata/skywalking_commits_info.npy,0.5692007797270955,0.025341130604288498,0.543859649122807,0.43079922027290446
10,zookeeper,10000,289500,1,2373,91,17817,875215,repositoryMetadata/zookeeper_commits_info.npy,0.6164383561643836,0.0,0.6164383561643836,0.3835616438356164
11,dolphinscheduler,6900,325800,1,5598,787,96924,6305695,repositoryMetadata/dolphinscheduler_commits_info.npy,0.5692771084337349,0.012048192771084338,0.5572289156626506,0.4307228915662651
12,hudi,2600,327800,1,2261,80,21569,966056,repositoryMetadata/hudi_commits_info.npy,0.6610878661087866,0.0041841004184100415,0.6569037656903766,0.3389121338912134
13,dubbo,36600,359800,1,5244,241,61244,2585942,repositoryMetadata/dubbo_commits_info.npy,0.42105263157894735,0.021929824561403508,0.3991228070175439,0.5789473684210527
14,incubator-heron,3600,413900,1,3227,154,49925,3702774,repositoryMetadata/incubator-heron_commits_info.npy,0.7302325581395349,0.023255813953488372,0.7069767441860465,0.26976744186046514
15,jmeter,5700,477100,1,17537,840,61250,2787074,repositoryMetadata/jmeter_commits_info.npy,0.1651376146788991,0.009174311926605505,0.1559633027522936,0.8348623853211009
16,zeppelin,5500,477400,1,5015,1393,32146,2450637,repositoryMetadata/zeppelin_commits_info.npy,0.7233009708737864,0.0048543689320388345,0.7184466019417476,0.2766990291262136
17,calcite,2800,665400,1,4803,123,47623,2355922,repositoryMetadata/calcite_commits_info.npy,0.6114649681528662,0.03184713375796178,0.5796178343949044,0.3885350318471338
18,groovy,4400,693100,1,19167,418,90038,4103868,repositoryMetadata/groovy_commits_info.npy,0.3888888888888889,0.044444444444444446,0.34444444444444444,0.6111111111111112
19,tomcat,5700,824600,1,23820,3366,80631,3452023,repositoryMetadata/tomcat_commits_info.npy,0.15547703180212014,0.01060070671378092,0.14487632508833923,0.8445229681978799
