Name,Repository,Stars,LOC,Size_Classification,Best_or_worst
camel-kameleon,https://github.com/apache/camel-kameleon.git,24,4000,0.0,best
predictionio-template-java-ecom-recommender,https://github.com/apache/predictionio-template-java-ecom-recommender.git,37,1700,0.0,best
tomcat-jakartaee-migration,https://github.com/apache/tomcat-jakartaee-migration.git,48,3900,0.0,best
dubbo-sentinel-support,https://github.com/apache/dubbo-sentinel-support.git,52,1400,0.0,best
freemarker-online-tester,https://github.com/apache/freemarker-online-tester.git,54,5000,0.0,best
predictionio-sdk-java,https://github.com/apache/predictionio-sdk-java.git,108,2700,0.0,best
dubbo-rpc-jsonrpc,https://github.com/apache/dubbo-rpc-jsonrpc.git,186,1000,0.0,best
shardingsphere-elasticjob-example,https://github.com/apache/shardingsphere-elasticjob-example.git,193,1800,0.0,best
flink-playgrounds,https://github.com/apache/flink-playgrounds.git,238,3800,0.0,best
cordova-plugin-splashscreen,https://github.com/apache/cordova-plugin-splashscreen.git,618,5000,0.0,best
bahir-flink,https://github.com/apache/bahir-flink.git,564,29700,1.0,best
incubator-eventmesh,https://github.com/apache/incubator-eventmesh.git,748,55800,1.0,best
mina,https://github.com/apache/mina.git,805,46500,1.0,best
shardingsphere-example,https://github.com/apache/shardingsphere-example.git,908,12800,1.0,best
parquet-format,https://github.com/apache/parquet-format.git,952,6600,1.0,best
rocketmq-spring,https://github.com/apache/rocketmq-spring.git,1500,9600,1.0,best
nutch,https://github.com/apache/nutch.git,2300,30000,1.0,best
dubbo-admin,https://github.com/apache/dubbo-admin.git,3400,57800,1.0,best
shiro,https://github.com/apache/shiro.git,3700,18800,1.0,best
dubbo-spring-boot-project,https://github.com/apache/dubbo-spring-boot-project.git,5200,14900,1.0,best
zookeeper,https://github.com/apache/zookeeper.git,10000,289500,2.0,best
pulsar,https://github.com/apache/pulsar.git,10100,2500000,2.0,best
druid,https://github.com/apache/druid.git,11400,1400000,2.0,best
hadoop,https://github.com/apache/hadoop.git,12200,4700000,2.0,best
shardingsphere,https://github.com/apache/shardingsphere.git,15000,895700,2.0,best
rocketmq,https://github.com/apache/rocketmq.git,16100,184200,2.0,best
flink,https://github.com/apache/flink.git,17700,3300000,2.0,best
skywalking,https://github.com/apache/skywalking.git,18300,216600,2.0,best
kafka,https://github.com/apache/kafka.git,20600,949900,2.0,best
dubbo,https://github.com/apache/dubbo.git,36600,359800,2.0,best
