Name,Repository,Stars,LOC,Size_Classification
netbeans-mavenutils-nb-repository-plugin,https://github.com/apache/netbeans-mavenutils-nb-repository-plugin.git,1,1900,0
nifi-maven,https://github.com/apache/nifi-maven.git,17,3200,0
sling-org-apache-sling-commons-messaging-mail,https://github.com/apache/sling-org-apache-sling-commons-messaging-mail.git,2,4500,0
fineract-cn-office,https://github.com/apache/fineract-cn-office.git,4,7500,0
sling-org-apache-sling-fsresource,https://github.com/apache/sling-org-apache-sling-fsresource.git,4,10900,0
plc4x-build-tools,https://github.com/apache/plc4x-build-tools.git,8,16400,0
sling-org-apache-sling-resourceresolver,https://github.com/apache/sling-org-apache-sling-resourceresolver.git,6,29600,0
servicemix-specs,https://github.com/apache/servicemix-specs.git,1,43800,0
incubator-retired-htrace,https://github.com/apache/incubator-retired-htrace.git,102,75800,0
qpid-proton-j,https://github.com/apache/qpid-proton-j.git,28,108700,0
servicemix4-bundles,https://github.com/apache/servicemix4-bundles.git,18,289100,1
geronimo-specs,https://github.com/apache/geronimo-specs.git,18,330800,1
ignite-3,https://github.com/apache/ignite-3.git,43,347200,1
oozie,https://github.com/apache/oozie.git,627,354500,1
logging-log4j2,https://github.com/apache/logging-log4j2.git,1700,437000,1
atlas,https://github.com/apache/atlas.git,1100,500600,1
directory-ldap-api,https://github.com/apache/directory-ldap-api.git,24,509600,1
iotdb,https://github.com/apache/iotdb.git,1700,511700,1
phoenix,https://github.com/apache/phoenix.git,910,566200,1
tapestry-5,https://github.com/apache/tapestry-5.git,91,792100,1
incubator-sedona,https://github.com/apache/incubator-sedona.git,1000,868600,2
ranger,https://github.com/apache/ranger.git,558,913100,2
juddi,https://github.com/apache/juddi.git,15,913800,2
uima-uimaj,https://github.com/apache/uima-uimaj.git,46,937300,2
drill,https://github.com/apache/drill.git,1600,1200000,2
directory-server,https://github.com/apache/directory-server.git,89,1200000,2
incubator-hop,https://github.com/apache/incubator-hop.git,173,1300000,2
lucene,https://github.com/apache/lucene.git,602,1300000,2
cxf,https://github.com/apache/cxf.git,742,1400000,2
asterixdb-hyracks,https://github.com/apache/asterixdb-hyracks.git,16,1900000,2
