Name,Repository,Stars,LOC,Size_Classification,Best_or_worst
tinkerpop,https://github.com/apache/tinkerpop.git,1400,1100000,0,best
activemq,https://github.com/apache/activemq.git,2000,947900,0,best
calcite,https://github.com/apache/calcite.git,2800,665400,0,best
incubator-doris,https://github.com/apache/incubator-doris.git,3600,1000000,0,best
pinot,https://github.com/apache/pinot.git,3700,1100000,0,best
groovy,https://github.com/apache/groovy.git,4400,693100,0,best
tomcat,https://github.com/apache/tomcat.git,5700,824600,0,best
cassandra,https://github.com/apache/cassandra.git,7000,1100000,0,best
shardingsphere,https://github.com/apache/shardingsphere.git,15000,895700,0,best
kafka,https://github.com/apache/kafka.git,20600,949900,0,best
nutch,https://github.com/apache/nutch.git,2300,30000,1,best
curator,https://github.com/apache/curator.git,2700,103100,1,best
maven,https://github.com/apache/maven.git,2900,210600,1,best
dubbo-admin,https://github.com/apache/dubbo-admin.git,3400,57800,1,best
shiro,https://github.com/apache/shiro.git,3700,18800,1,best
dubbo-spring-boot-project,https://github.com/apache/dubbo-spring-boot-project.git,5200,14900,1,best
incubator-shenyu,https://github.com/apache/incubator-shenyu.git,5600,196600,1,best
shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob.git,7400,91500,1,best
rocketmq,https://github.com/apache/rocketmq.git,16100,184200,1,best
skywalking,https://github.com/apache/skywalking.git,18300,216600,1,best
avro,https://github.com/apache/avro.git,2000,319800,2,best
mahout,https://github.com/apache/mahout.git,2000,477300,2,best
incubator-linkis,https://github.com/apache/incubator-linkis.git,2300,591300,2,best
hudi,https://github.com/apache/hudi.git,2600,327800,2,best
incubator-heron,https://github.com/apache/incubator-heron.git,3600,413900,2,best
zeppelin,https://github.com/apache/zeppelin.git,5500,477400,2,best
jmeter,https://github.com/apache/jmeter.git,5700,477100,2,best
dolphinscheduler,https://github.com/apache/dolphinscheduler.git,6900,325800,2,best
zookeeper,https://github.com/apache/zookeeper.git,10000,289500,2,best
dubbo,https://github.com/apache/dubbo.git,36600,359800,2,best
ofbiz-framework,https://github.com/apache/ofbiz-framework.git,403,1300000,3,best
lucene,https://github.com/apache/lucene.git,602,1300000,3,best
ofbiz,https://github.com/apache/ofbiz.git,731,1300000,3,best
cxf,https://github.com/apache/cxf.git,742,1400000,3,best
activemq-artemis,https://github.com/apache/activemq-artemis.git,762,1300000,3,best
drill,https://github.com/apache/drill.git,1600,1200000,3,best
nifi,https://github.com/apache/nifi.git,2900,1700000,3,best
kylin,https://github.com/apache/kylin.git,3200,1300000,3,best
hbase,https://github.com/apache/hbase.git,4300,1400000,3,best
druid,https://github.com/apache/druid.git,11400,1400000,3,best
